Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
412,Bill Sampen,31,CAL,15.1,,10,75,58,11,14,1,0,1,0,0,13,9,0.241,0.405,0.31,0.716,0.271,18,0,3,1,0,0,1
413,Scott Sanders,25,SDP,111,,23,485,421,63,103,16,3,10,13,10,48,109,0.245,0.326,0.368,0.694,0.303,155,2,5,6,5,4,7
414,Scott Sanderson,37,CHW,92,,18,389,371,57,110,26,1,20,8,6,12,36,0.296,0.321,0.534,0.855,0.285,198,7,2,3,1,1,2
415,Bob Scanlan,27,MIL,103,,30,441,406,53,117,21,2,11,14,4,28,65,0.288,0.339,0.431,0.77,0.319,175,9,4,1,2,2,3
416,Rich Scheid*,29,FLA,32.1,,8,142,130,18,35,6,1,6,0,3,8,17,0.269,0.321,0.469,0.791,0.271,61,0,2,2,0,0,3
417,Curt Schilling,27,PHI,82.1,,13,360,322,42,87,15,0,10,6,1,28,58,0.27,0.333,0.41,0.743,0.302,132,1,3,6,1,3,1
418,Pete Schourek*,25,CIN,81.1,,22,354,314,39,90,14,0,11,3,6,29,69,0.287,0.351,0.436,0.787,0.335,137,7,3,6,2,4,3
419,Erik Schullstrom,25,MIN,13,,9,57,50,7,13,4,0,0,1,0,5,13,0.26,0.339,0.34,0.679,0.351,17,1,1,1,0,0,1
420,Jeff Schwarz,30,TOT,18,,13,88,64,13,14,3,0,0,1,0,22,18,0.219,0.414,0.266,0.679,0.298,17,3,0,1,1,0,2
421,Jeff Schwarz,30,CHW,11.1,,9,60,44,10,9,3,0,0,0,0,16,14,0.205,0.417,0.273,0.689,0.3,12,1,0,0,0,0,2
422,Jeff Schwarz,30,CAL,6.2,,4,28,20,3,5,0,0,0,1,0,6,4,0.25,0.407,0.25,0.657,0.294,5,2,0,1,1,0,0
423,Tim Scott,27,MON,53.1,,40,223,203,17,51,8,1,0,12,2,18,37,0.251,0.318,0.3,0.619,0.307,61,5,2,0,0,3,3
424,Rudy Seánez,25,LAD,23.2,,17,104,88,7,24,3,1,2,5,0,9,18,0.273,0.34,0.398,0.738,0.314,35,2,1,4,2,1,1
425,Aaron Sele,24,BOS,143.1,,22,615,536,68,140,19,3,13,6,7,60,105,0.261,0.343,0.381,0.723,0.3,204,17,9,4,5,2,3
426,Frank Seminara,27,NYM,17,,10,75,66,12,20,4,1,2,3,1,8,7,0.303,0.373,0.485,0.858,0.31,32,3,0,0,1,0,3
427,Scott Service,27,CIN,7.1,,6,35,30,9,8,2,1,2,0,0,3,5,0.267,0.333,0.6,0.933,0.261,18,0,0,2,0,0,1
