Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
752,Fernando Viña*,25,NYM,NL,0,79,150,124,20,31,6,0,0,6,3,1,12,11,0.25,0.372,0.298,0.67,79,0.341,96,37,4,12,2,0,0,H45/67
753,Paul Wagner,26,PIT,NL,-0.1,29,39,37,1,6,1,0,0,2,0,0,0,10,0.162,0.162,0.189,0.351,-9,0.156,-45,7,1,0,2,0,0,1
754,Bruce Walton,31,COL,NL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1
755,Allen Watson*,23,STL,NL,0.2,22,46,38,3,6,2,1,0,5,0,0,1,4,0.158,0.179,0.263,0.443,15,0.216,-7,10,0,0,7,0,0,1
756,Gary Wayne*,31,LAD,NL,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-133,0,0,0,0,0,0,1
757,David Weathers,24,FLA,NL,-0.3,26,51,44,2,3,0,0,0,0,0,0,3,25,0.068,0.128,0.068,0.196,-47,0.103,-91,3,0,0,4,0,0,1/H
758,Eric Wedge,26,BOS,AL,-0.2,2,7,6,0,0,0,0,0,0,0,0,1,3,0,0.143,0,0.143,-59,0.104,-71,0,0,0,0,0,0,/D
759,John Wehner,27,PIT,NL,-0.1,2,4,4,1,1,1,0,0,3,0,0,0,1,0.25,0.25,0.5,0.75,89,0.315,77,2,0,0,0,0,0,/5H
760,Bob Welch,37,OAK,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-131,0,1,0,0,0,0,1/H
761,Bob Wells,27,PHI,NL,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1
762,Turk Wendell#,27,CHC,NL,0,6,3,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,-2,0.238,23,0,0,0,0,0,0,/1
763,David West*,29,PHI,NL,-0.3,31,29,28,1,2,0,0,0,0,0,0,0,12,0.071,0.071,0.071,0.143,-63,0.064,-110,2,1,0,1,0,0,1
764,John Wetteland,27,MON,NL,0,52,5,4,0,1,0,0,0,1,0,0,0,1,0.25,0.25,0.25,0.5,31,0.225,-9,1,0,0,1,0,0,1
765,Gabe White*,22,MON,NL,0,7,6,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-42,0.143,-75,0,0,0,1,0,0,/1
766,Rick White,25,PIT,NL,-0.1,43,14,13,0,1,0,0,0,0,0,0,0,4,0.077,0.143,0.077,0.22,-40,0.117,-65,1,0,1,0,0,0,1
767,Wally Whitehurst,30,SDP,NL,0,13,22,19,0,2,0,0,0,0,0,0,3,8,0.105,0.227,0.105,0.333,-8,0.179,-17,2,0,0,0,0,0,1
768,Matt Whiteside,26,TEX,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1
769,Darrell Whitmore*,25,FLA,NL,0.2,9,25,22,1,5,1,0,0,0,0,1,3,5,0.227,0.32,0.273,0.593,56,0.259,50,6,0,0,0,0,0,/7H9
770,Mitch Williams*,29,HOU,NL,0,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1
771,Brian Williams,25,HOU,NL,0.2,20,28,23,0,6,0,0,0,3,0,0,0,4,0.261,0.261,0.261,0.522,40,0.235,9,6,0,0,5,0,0,1
772,Mike Williams,25,PHI,NL,0,12,17,12,1,2,1,0,0,3,0,0,0,7,0.167,0.167,0.25,0.417,6,0.18,-72,3,0,0,5,0,0,1
773,Willie Wilson#,38,CHC,NL,-0.2,17,23,21,4,5,0,2,0,0,1,0,1,6,0.238,0.273,0.429,0.701,80,0.31,65,9,0,0,1,0,0,8H
774,Bobby Witt,30,OAK,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/H
775,Mark Wohlers,24,ATL,NL,0.3,51,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,422,1.816,2133,1,0,0,1,0,0,1
776,Tony Womack*,24,PIT,NL,0.1,5,14,12,4,4,0,0,0,1,0,0,2,3,0.333,0.429,0.333,0.762,102,0.359,107,4,0,0,0,0,0,/46
777,Brad Woodall#,25,ATL,NL,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,161,0.45,174,1,0,0,0,0,0,/1
778,Tim Worrell,26,SDP,NL,0.1,3,4,2,1,1,0,0,0,0,0,0,1,1,0.5,0.667,0.5,1.167,216,0.537,286,1,0,0,1,0,0,/1
779,Todd Worrell,34,LAD,NL,0,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1
780,Gerald Young#,29,STL,NL,0.3,16,44,41,5,13,3,2,0,3,2,1,3,8,0.317,0.364,0.488,0.851,122,0.369,118,20,1,0,0,0,0,/8H79
781,Anthony Young,28,CHC,NL,-0.1,20,39,34,3,6,1,0,0,4,0,0,0,11,0.176,0.176,0.206,0.382,0,0.169,-44,7,1,0,5,0,0,1
782,Ernie Young,24,OAK,AL,-0.1,11,31,30,2,2,1,0,0,3,0,0,1,8,0.067,0.097,0.1,0.197,-47,0.093,-66,3,1,0,0,0,0,/78H9D
,League Average,,,,,,,,,,,,,,,,,,0.27,0.339,0.424,0.763,100,0.345,100,,,,,,,
