Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
203,Wes Chamberlain,28,BOS,AL,-0.5,51,176,164,13,42,9,1,4,20,0,2,12,38,0.256,0.307,0.396,0.703,77,0.31,72,65,6,0,0,0,2,9D/H
204,Luis Alicea#,28,STL,NL,1.1,88,242,205,32,57,12,5,5,29,4,5,30,38,0.278,0.373,0.459,0.832,118,0.354,112,94,1,3,1,3,4,4H/7
205,Bret Barberie#,26,FLA,NL,1.4,107,406,372,40,112,20,2,5,31,2,0,23,65,0.301,0.356,0.406,0.762,97,0.345,95,151,4,9,2,0,3,*4/H
206,Phil Clark,26,SDP,NL,-0.7,61,160,149,14,32,6,0,5,20,1,2,5,17,0.215,0.25,0.356,0.606,58,0.274,54,53,1,3,0,3,1,3H7/295
207,Orestes Destrade#,32,FLA,NL,-0.4,39,152,130,12,27,4,0,5,15,1,0,19,32,0.208,0.316,0.354,0.67,73,0.316,75,46,2,2,0,1,1,3/H
208,Brian Dorsett,33,CIN,NL,0.1,76,241,216,21,53,8,0,5,26,0,0,21,33,0.245,0.313,0.352,0.664,74,0.287,57,76,10,1,1,2,7,2H/3
209,Lenny Dykstra*,31,PHI,NL,2.3,84,386,315,68,86,26,5,5,24,15,4,68,44,0.273,0.404,0.435,0.839,118,0.377,117,137,3,2,0,1,11,*8/H
210,Jim Edmonds*,24,CAL,AL,1,94,322,289,35,79,13,1,5,37,4,2,30,72,0.273,0.343,0.377,0.72,86,0.324,82,109,3,1,1,1,3,*739/H8
211,Tony Eusebio,27,HOU,NL,1.1,55,174,159,18,47,9,1,5,30,0,1,8,33,0.296,0.32,0.459,0.779,105,0.353,112,73,4,0,2,5,0,2/H
212,Dave Henderson,35,KCR,AL,-0.6,56,218,198,27,49,14,1,5,31,2,0,16,28,0.247,0.304,0.404,0.708,79,0.32,74,80,3,1,1,2,1,79D/8H
213,Thomas Howard#,29,CIN,NL,-0.4,83,192,178,24,47,11,0,5,24,4,2,10,30,0.264,0.302,0.41,0.712,85,0.314,78,73,2,0,3,1,1,7H9/8
214,Brian Jordan,27,STL,NL,1,53,197,178,14,46,8,2,5,15,4,3,16,40,0.258,0.32,0.41,0.73,91,0.333,94,73,6,1,0,2,0,97/8H3
215,Jeff King,29,PIT,NL,0.3,94,378,339,36,89,23,0,5,42,3,2,30,38,0.263,0.316,0.375,0.691,79,0.324,83,127,7,0,2,7,1,*5/H4
216,Wayne Kirby*,30,CLE,AL,0.1,78,207,191,33,56,6,0,5,23,11,4,13,30,0.293,0.341,0.403,0.745,94,0.339,92,77,1,1,2,0,0,9H/78D
217,Chuck Knoblauch,25,MIN,AL,4.1,109,499,445,85,139,45,3,5,51,35,6,41,56,0.312,0.381,0.461,0.841,117,0.392,121,205,13,10,0,3,2,*4/6
218,John Kruk*,33,PHI,NL,1.3,75,301,255,35,77,17,0,5,38,4,1,42,51,0.302,0.395,0.427,0.823,114,0.372,115,109,9,0,0,4,4,3/H
219,Mike Lansing,26,MON,NL,1.5,106,435,394,44,105,21,2,5,35,12,8,30,37,0.266,0.328,0.368,0.696,81,0.318,80,145,10,7,2,2,3,*456/H
220,Candy Maldonado,33,CLE,AL,0,42,111,92,14,18,5,1,5,12,1,1,19,31,0.196,0.333,0.435,0.768,99,0.334,92,40,1,0,0,0,1,DH/7
221,Willie McGee#,35,SFG,NL,0.4,45,176,156,19,44,3,0,5,23,3,0,15,24,0.282,0.337,0.397,0.735,96,0.336,95,62,8,0,1,4,2,9/H
222,Keith Mitchell,24,SEA,AL,0.2,46,149,128,21,29,2,0,5,15,0,0,18,22,0.227,0.324,0.359,0.684,76,0.317,76,46,2,1,1,1,0,79H/D8
223,Eduardo Pérez,24,CAL,AL,-0.5,38,143,129,10,27,7,0,5,16,3,0,12,29,0.209,0.275,0.38,0.654,67,0.296,58,49,5,0,1,1,1,3/H
224,Juan Samuel,33,DET,AL,1.3,59,151,136,32,42,9,5,5,21,5,2,10,26,0.309,0.364,0.559,0.923,134,0.417,144,76,4,3,0,2,0,8HD/437
225,Ryne Sandberg,34,CHC,NL,0.9,57,247,223,36,53,9,5,5,24,2,3,23,40,0.238,0.312,0.39,0.702,83,0.319,84,87,6,1,0,0,0,4
226,Kevin Seitzer,32,MIL,AL,0.8,80,348,309,44,97,24,2,5,49,2,1,30,38,0.314,0.375,0.453,0.828,110,0.371,109,140,7,2,4,3,1,53/DH
227,Doug Strange#,30,TEX,AL,-0.1,73,250,226,26,48,12,1,5,26,1,3,15,38,0.212,0.268,0.341,0.609,57,0.269,48,77,6,3,4,2,0,4H5/79
228,B.J. Surhoff*,29,MIL,AL,0.4,40,154,134,20,35,11,2,5,22,0,1,16,14,0.261,0.336,0.485,0.821,106,0.355,101,65,5,0,2,2,0,52/39DH
229,Tony Tarasco*,23,ATL,NL,-0.2,87,144,132,16,36,6,0,5,19,5,0,9,17,0.273,0.313,0.432,0.744,91,0.335,84,57,5,0,0,3,1,H79
230,John Vander Wal*,28,COL,NL,0.4,91,127,110,12,27,3,1,5,15,2,1,16,31,0.245,0.339,0.427,0.766,86,0.339,80,47,4,0,0,1,0,H3/79
231,Matt Walbeck#,24,MIN,AL,-0.7,97,359,338,31,69,12,0,5,35,1,1,17,37,0.204,0.246,0.284,0.53,37,0.248,30,96,7,2,1,1,1,*2/HD
232,Lenny Webster,29,MON,NL,0.8,57,166,143,13,39,10,0,5,23,0,0,16,24,0.273,0.37,0.448,0.817,112,0.368,114,64,7,6,1,0,1,2H
233,Mike Aldrete*,33,OAK,AL,0.3,76,201,178,23,43,5,0,4,18,2,0,20,35,0.242,0.313,0.337,0.651,75,0.314,83,60,2,0,0,3,1,H379/D
234,Rich Amaral,32,SEA,AL,-0.3,77,262,228,37,60,10,2,4,18,5,1,24,28,0.263,0.333,0.377,0.711,83,0.328,81,86,3,1,7,2,1,4H7/6D38
235,Danny Bautista,22,DET,AL,0.2,31,102,99,12,23,4,1,4,15,1,2,3,18,0.232,0.255,0.414,0.669,69,0.296,68,41,3,0,0,0,0,98/HD
236,Daryl Boston*,31,NYY,AL,-0.6,52,84,77,11,14,2,0,4,14,0,1,6,20,0.182,0.25,0.364,0.614,59,0.263,49,28,0,1,0,0,0,H/D789
237,Jacob Brumfield,29,CIN,NL,1,68,141,122,36,38,10,2,4,11,6,3,15,18,0.311,0.381,0.525,0.906,135,0.39,133,64,3,0,2,2,0,H87/9
238,Archi Cianfrocco,27,SDP,NL,-0.2,59,157,146,9,32,8,0,4,13,2,0,3,39,0.219,0.252,0.356,0.608,59,0.269,45,52,2,4,1,2,0,5H3/6
239,Alex Cole*,28,MIN,AL,1.7,105,398,345,68,102,15,5,4,23,29,8,44,60,0.296,0.375,0.403,0.778,102,0.358,100,139,3,1,6,2,2,*8H7/D
240,Darnell Coles,32,TOR,AL,-0.3,48,156,143,15,30,6,1,4,15,0,0,10,25,0.21,0.263,0.35,0.612,57,0.27,45,50,2,1,0,2,0,73/59HD
241,Jim Eisenreich*,35,PHI,NL,1.4,104,329,290,42,87,15,4,4,43,6,2,33,31,0.3,0.371,0.421,0.792,105,0.363,108,122,8,1,3,2,3,*9H/8
242,Cliff Floyd*,21,MON,NL,0.2,100,366,334,43,94,19,4,4,41,10,3,24,63,0.281,0.332,0.398,0.731,89,0.332,86,133,3,3,2,3,0,*37/9H
243,Joe Girardi,29,COL,NL,0.7,93,361,330,47,91,9,4,4,34,3,3,21,48,0.276,0.321,0.364,0.685,68,0.337,79,120,13,2,6,2,1,*2/H
244,Brian Harper,34,MIL,AL,-0.4,64,267,251,23,73,15,0,4,32,0,2,9,18,0.291,0.318,0.398,0.717,81,0.321,78,100,8,3,0,4,1,D2/97H
245,Dave Hollins#,28,PHI,NL,-0.7,44,192,162,28,36,7,1,4,26,1,0,23,32,0.222,0.328,0.352,0.68,77,0.325,82,57,6,4,0,3,0,9-May
246,Mike Kingery*,33,COL,NL,1.5,105,346,301,56,105,27,8,4,41,5,7,30,26,0.349,0.402,0.532,0.933,126,0.401,129,160,8,2,5,8,2,*87H/93
247,Darren Lewis,26,SFG,NL,1.3,114,513,451,70,116,15,9,4,29,30,13,53,50,0.257,0.34,0.357,0.697,87,0.334,96,161,6,4,4,1,0,*8/H
248,Dave Martinez*,29,SFG,NL,-0.5,97,260,235,23,58,9,3,4,27,3,4,21,22,0.247,0.314,0.362,0.676,81,0.304,79,85,6,2,2,0,1,9H3/78
249,Lloyd McClendon,35,PIT,NL,-0.3,51,97,92,9,22,4,0,4,12,0,1,4,11,0.239,0.278,0.413,0.691,77,0.297,67,38,1,1,0,0,0,H7/93
250,Brian McRae#,26,KCR,AL,1,114,505,436,71,119,22,6,4,40,28,8,54,67,0.273,0.359,0.378,0.737,89,0.347,91,165,3,6,6,3,3,*8/DH
251,Kevin McReynolds,34,NYM,NL,0.3,51,201,180,23,46,11,2,4,21,2,0,20,34,0.256,0.328,0.406,0.734,91,0.331,88,73,2,0,0,1,1,7/H
252,Roberto Mejía,22,COL,NL,0.1,38,132,116,11,28,8,1,4,14,3,1,15,33,0.241,0.326,0.431,0.757,83,0.343,81,50,1,0,0,1,2,4/H
253,Kevin Roberson#,26,CHC,NL,0.1,44,59,55,8,12,4,0,4,9,0,0,2,14,0.218,0.271,0.509,0.78,99,0.364,113,28,3,2,0,0,0,H/9
254,Deion Sanders*,26,2TM,NL,1.3,92,414,375,58,106,17,4,4,28,38,16,32,63,0.283,0.342,0.381,0.724,89,0.331,86,143,5,3,2,2,1,*8/H
254,Deion Sanders*,26,ATL,NL,1.1,46,211,191,32,55,10,0,4,21,19,7,16,28,0.288,0.343,0.403,0.746,93,0.339,89,77,4,1,1,2,1,8/H
254,Deion Sanders*,26,CIN,NL,0.3,46,203,184,26,51,7,4,0,7,19,9,16,35,0.277,0.342,0.359,0.7,84,0.322,83,66,1,2,1,0,0,8/H
255,Dick Schofield,31,TOR,AL,0,95,373,325,38,83,14,1,4,32,7,7,34,62,0.255,0.332,0.342,0.673,75,0.311,76,111,2,4,8,2,0,*6
256,Craig Shipley,31,SDP,NL,1,81,258,240,32,80,14,4,4,30,6,6,9,28,0.333,0.362,0.475,0.837,119,0.383,134,114,3,3,4,2,1,5H64/378
257,Dave Staton,26,SDP,NL,-0.1,29,76,66,6,12,2,0,4,6,0,0,10,18,0.182,0.289,0.394,0.683,79,0.316,81,26,3,0,0,0,0,3/H
258,Darryl Strawberry*,32,SFG,NL,-0.2,29,113,92,13,22,3,1,4,17,0,3,19,22,0.239,0.363,0.424,0.787,110,0.34,112,39,2,0,0,2,4,9/H
259,Mitch Webster#,35,LAD,NL,0.1,82,93,84,16,23,4,0,4,12,1,2,8,13,0.274,0.344,0.464,0.808,114,0.353,117,39,2,1,0,0,1,H7/9
260,Gerald Williams,27,NYY,AL,0.3,57,91,86,19,25,8,0,4,13,1,3,4,17,0.291,0.319,0.523,0.842,117,0.372,128,45,6,0,0,1,0,7H9/8D
261,Milt Thompson*,35,2TM,NL,0.1,96,270,241,34,66,7,0,4,33,9,2,24,30,0.274,0.346,0.353,0.698,82,0.32,76,85,6,3,1,1,4,*7H8/9
261,Milt Thompson*,35,PHI,NL,-0.2,87,248,220,29,60,7,0,3,30,7,2,23,28,0.273,0.348,0.345,0.694,81,0.318,75,76,5,3,1,1,4,*7H8
261,Milt Thompson*,35,HOU,NL,0.3,9,22,21,5,6,0,0,1,3,2,0,1,2,0.286,0.318,0.429,0.747,97,0.351,92,9,1,0,0,0,0,/9H
262,Pat Borders,31,TOR,AL,-0.3,85,311,295,24,73,13,1,3,26,1,1,15,50,0.247,0.284,0.329,0.613,58,0.286,56,97,7,0,1,0,0,*2
263,Jerry Browne#,28,FLA,NL,2.4,101,388,329,42,97,17,4,3,30,3,0,52,23,0.295,0.392,0.398,0.79,106,0.367,111,131,5,2,3,2,3,574H/89
264,Jeromy Burnitz*,25,NYM,NL,-0.7,45,168,143,26,34,4,0,3,15,1,1,23,45,0.238,0.347,0.329,0.676,79,0.324,86,47,2,1,1,0,0,9/H
265,Mark Carreon,30,SFG,NL,0.3,51,111,100,8,27,4,0,3,20,0,0,7,20,0.27,0.324,0.4,0.724,93,0.345,105,40,1,2,0,2,0,9H7
266,Vinny Castilla,26,COL,NL,-0.1,52,141,130,16,43,11,1,3,18,2,1,7,23,0.331,0.357,0.5,0.857,107,0.373,104,65,3,0,1,3,1,64H/53
267,Jeff Cirillo,24,MIL,AL,0.6,39,139,126,17,30,9,0,3,12,0,1,11,16,0.238,0.309,0.381,0.69,75,0.312,72,48,4,2,0,0,0,5/H4
268,Royce Clayton,24,SFG,NL,2.8,108,423,385,38,91,14,6,3,30,23,3,30,74,0.236,0.295,0.327,0.623,67,0.308,72,126,7,3,3,2,2,*6/H
269,Eric Davis,32,DET,AL,-0.3,37,138,120,19,22,4,0,3,13,5,0,18,45,0.183,0.29,0.292,0.582,51,0.287,51,35,4,0,0,0,0,8/H
270,Gary Disarcina,26,CAL,AL,1.4,112,421,389,53,101,14,2,3,33,3,7,18,28,0.26,0.294,0.329,0.623,61,0.291,63,128,10,2,10,2,0,*6/H
271,Chris Donnels*,28,HOU,NL,0.5,54,99,86,12,23,5,0,3,5,1,0,13,18,0.267,0.364,0.43,0.794,111,0.366,117,37,1,0,0,0,0,H5/34
272,Scott Fletcher,35,BOS,AL,0.9,63,206,185,31,42,9,1,3,11,8,1,16,14,0.227,0.296,0.335,0.631,60,0.313,65,62,7,2,3,0,1,4H/D
273,Tom Foley*,34,PIT,NL,1.1,59,137,123,13,29,7,0,3,15,0,0,13,18,0.236,0.307,0.366,0.672,74,0.315,76,45,1,0,0,1,2,H45/63
274,Chris Gwynn*,29,LAD,NL,-0.4,58,78,71,9,19,0,0,3,13,0,2,7,7,0.268,0.333,0.394,0.728,94,0.313,92,28,1,0,0,0,0,H7/9
275,Scott Hemond,28,OAK,AL,0.2,91,216,198,23,44,11,0,3,20,7,6,16,51,0.222,0.28,0.323,0.604,62,0.279,65,64,5,0,2,0,0,24H5/3D79
276,Mike Huff,30,TOR,AL,1.4,80,237,207,31,63,15,3,3,25,2,1,27,27,0.304,0.392,0.449,0.842,117,0.385,123,93,6,3,0,0,2,78H/9
277,Garey Ingram,23,LAD,NL,0.2,26,86,78,10,22,1,0,3,8,0,0,7,22,0.282,0.341,0.41,0.751,101,0.333,96,32,3,0,1,0,3,4/H
278,Brian Johnson,26,SDP,NL,0.1,36,101,93,7,23,4,1,3,16,0,0,5,21,0.247,0.283,0.409,0.691,80,0.328,89,38,4,0,2,1,0,2H/3
279,Lance Johnson*,30,CHW,AL,1.7,106,443,412,56,114,11,14,3,54,26,6,26,23,0.277,0.321,0.393,0.714,85,0.33,83,162,8,2,0,3,5,*8/HD
280,Pat Kelly,26,NYY,AL,0.8,93,329,286,35,80,21,2,3,41,6,5,19,51,0.28,0.33,0.399,0.729,91,0.321,85,114,10,5,14,5,1,*4/H
281,Mark Lemke#,28,ATL,NL,0.7,104,394,350,40,103,15,0,3,31,0,3,38,37,0.294,0.363,0.363,0.726,89,0.322,82,127,11,0,6,0,12,*4/H
282,Nelson Liriano#,30,COL,NL,0.7,87,303,255,39,65,17,5,3,31,0,2,42,44,0.255,0.357,0.396,0.753,84,0.337,80,101,4,0,3,3,5,*4/H65
283,Mark McLemore#,29,BAL,AL,1.3,104,400,343,44,88,11,1,3,29,20,5,51,50,0.257,0.354,0.321,0.674,73,0.332,79,110,7,1,4,1,3,*4/9HD
284,Spike Owen#,33,CAL,AL,1.8,82,321,268,30,83,17,2,3,37,2,8,49,17,0.31,0.418,0.422,0.84,118,0.38,128,113,4,1,3,0,0,5/63HD4
285,Mark Parent,32,CHC,NL,0.7,44,116,99,8,26,4,0,3,16,0,1,13,24,0.263,0.348,0.394,0.742,94,0.348,105,39,5,1,1,2,1,2/H
286,Lance Parrish,38,PIT,NL,0.2,40,147,126,10,34,5,0,3,16,1,1,18,28,0.27,0.363,0.381,0.744,94,0.346,100,48,5,1,1,1,1,2/H3
287,John Patterson#,27,SFG,NL,1.3,85,274,240,36,57,10,1,3,32,13,3,16,43,0.238,0.315,0.325,0.64,72,0.324,85,78,4,11,7,0,0,4H
288,Gerald Perry*,33,STL,NL,0.8,60,92,77,12,25,7,0,3,18,1,1,15,12,0.325,0.435,0.532,0.967,153,0.418,156,41,4,0,0,0,1,H3
289,Jeff Reboulet,30,MIN,AL,0.8,74,210,189,28,49,11,1,3,23,0,0,18,23,0.259,0.327,0.376,0.703,81,0.321,79,71,6,1,2,0,0,64H3/597D
290,Luis Rivera,30,NYM,NL,0.7,32,49,43,11,12,2,1,3,5,0,1,4,14,0.279,0.367,0.581,0.949,144,0.414,156,25,1,2,0,0,0,H6/4
291,Ozzie Smith#,39,STL,NL,2.1,98,433,381,51,100,18,3,3,30,6,3,38,26,0.262,0.326,0.349,0.675,78,0.31,75,133,3,0,10,4,3,*6/H
292,José Vizcaíno#,26,NYM,NL,-1.1,103,456,410,47,105,13,3,3,33,1,11,33,62,0.256,0.31,0.324,0.635,67,0.291,69,133,5,2,5,6,3,*6/H
293,Jack Voigt,28,BAL,AL,0.3,59,163,141,15,34,5,0,3,20,0,0,18,25,0.241,0.327,0.34,0.668,70,0.326,78,48,0,1,1,2,1,97/3HD8
294,Dan Wilson,25,SEA,AL,-0.6,91,303,282,24,61,14,2,3,27,1,2,10,57,0.216,0.244,0.312,0.556,42,0.262,39,88,11,1,8,2,0,*2
295,Billy Hatcher,33,2TM,2LG,-1,87,327,298,39,73,14,2,3,31,8,6,17,28,0.245,0.283,0.336,0.618,58,0.285,55,100,5,1,5,6,0,*98/H7D
295,Billy Hatcher,33,BOS,AL,-1,44,181,164,24,40,9,1,1,18,4,5,11,14,0.244,0.292,0.329,0.621,58,0.286,57,54,3,1,3,2,0,9/HD
295,Billy Hatcher,33,PHI,NL,0,43,146,134,15,33,5,1,2,13,4,1,6,14,0.246,0.271,0.343,0.614,58,0.285,51,46,2,0,2,4,0,89/7H
296,Rubén Amaro Jr.#,29,CLE,AL,0.1,26,25,23,5,5,1,0,2,5,2,1,2,3,0.217,0.28,0.522,0.802,103,0.333,91,12,0,0,0,0,0,H8/D79
297,Juan Bell#,26,MON,NL,0.7,38,114,97,12,27,4,0,2,10,4,0,15,21,0.278,0.372,0.381,0.753,97,0.359,101,37,1,0,1,1,0,4H/56
298,Tim Bogar,27,NYM,NL,-0.3,50,59,52,5,8,0,0,2,5,1,0,4,11,0.154,0.211,0.269,0.48,25,0.244,20,14,1,0,2,1,1,5H3/647
299,Mike Bordick,28,OAK,AL,1.6,114,440,391,38,99,18,4,2,37,7,2,38,44,0.253,0.32,0.335,0.655,77,0.316,85,131,9,3,3,5,1,*6/4
300,Chuck Carr#,26,FLA,NL,0.6,106,468,433,61,114,19,2,2,30,32,8,22,71,0.263,0.305,0.33,0.635,65,0.308,64,143,5,5,6,2,1,*8/H
301,Vince Coleman#,32,KCR,AL,-1.6,104,477,438,61,105,14,12,2,33,50,8,29,72,0.24,0.285,0.34,0.626,59,0.302,53,149,2,1,4,5,0,*7/DH
302,Scott Coolbaugh,28,STL,NL,0,15,23,21,4,4,0,0,2,6,0,0,1,4,0.19,0.217,0.476,0.694,76,0.285,58,10,3,0,0,1,0,H/35
303,Joey Cora#,29,CHW,AL,0.7,90,368,312,55,86,13,4,2,30,8,4,38,32,0.276,0.353,0.362,0.715,87,0.338,93,113,8,2,11,5,0,*4H/D
304,Delino DeShields*,25,LAD,NL,1.7,89,376,320,51,80,11,3,2,33,27,7,54,53,0.25,0.357,0.322,0.679,84,0.337,93,103,9,0,1,1,0,*46/H
305,Carl Everett#,23,FLA,NL,0.2,16,54,51,7,11,1,0,2,6,4,0,3,15,0.216,0.259,0.353,0.612,57,0.306,56,18,0,0,0,0,0,/897H
306,Dave Gallagher,33,ATL,NL,-0.1,89,177,152,27,34,5,0,2,14,0,2,22,17,0.224,0.326,0.296,0.622,63,0.297,66,45,5,1,2,0,2,*7H/983
307,Brent Gates#,24,OAK,AL,1,64,264,233,29,66,11,1,2,24,3,0,21,32,0.283,0.337,0.365,0.702,89,0.338,99,85,8,1,3,6,1,4/H3
308,Carlos Hernández,27,LAD,NL,-0.2,32,65,64,6,14,2,0,2,6,0,0,1,14,0.219,0.231,0.344,0.575,52,0.264,48,22,0,0,0,0,0,2/H
309,Tim Hulett,34,BAL,AL,1,36,106,92,11,21,2,1,2,15,0,0,12,24,0.228,0.314,0.337,0.651,65,0.297,58,31,2,0,1,1,0,4/56H
310,Mike Kelly,24,ATL,NL,-0.1,30,80,77,14,21,10,1,2,9,0,1,2,17,0.273,0.3,0.506,0.806,104,0.35,105,39,1,1,0,0,0,7H/89
311,Manuel Lee#,29,TEX,AL,0.8,95,363,335,41,93,18,2,2,38,3,1,21,66,0.278,0.319,0.361,0.681,77,0.322,80,121,8,0,6,1,0,*64
312,Scott Livingstone*,28,2TM,2LG,-0.3,72,211,203,11,54,13,1,2,11,2,2,7,26,0.266,0.289,0.369,0.659,72,0.301,71,75,5,0,0,1,0,5H/3D
312,Scott Livingstone*,28,DET,AL,-0.3,15,24,23,0,5,1,0,0,1,0,0,1,4,0.217,0.25,0.261,0.511,33,0.234,20,6,0,0,0,0,0,/3DH5
312,Scott Livingstone*,28,SDP,NL,-0.1,57,187,180,11,49,12,1,2,10,2,2,6,22,0.272,0.294,0.383,0.677,78,0.309,78,69,5,0,0,1,0,5/H
313,Keith Lockhart*,29,SDP,NL,-0.6,27,50,43,4,9,0,0,2,6,1,0,4,10,0.209,0.286,0.349,0.635,67,0.289,58,15,2,1,1,1,0,H5/469
314,Luis López#,23,SDP,NL,-0.6,77,257,235,29,65,16,1,2,20,3,2,15,39,0.277,0.325,0.379,0.704,86,0.321,85,89,7,3,2,2,2,64/H5
315,Torey Lovullo#,28,SEA,AL,0.1,36,81,72,9,16,5,0,2,7,1,0,9,13,0.222,0.309,0.375,0.684,75,0.304,65,27,2,0,0,0,1,4H/5D
316,Brent Mayne*,26,KCR,AL,0,46,158,144,19,37,5,1,2,20,1,0,14,27,0.257,0.323,0.347,0.67,71,0.31,68,50,3,0,0,0,1,2/DH
317,Pat Meares,25,MIN,AL,0.4,80,254,229,29,61,12,1,2,24,5,1,14,50,0.266,0.31,0.354,0.664,72,0.308,68,81,3,2,6,3,0,*6/H
318,Orlando Miller,25,HOU,NL,0.5,16,44,40,3,13,0,1,2,9,1,0,2,12,0.325,0.386,0.525,0.911,141,0.389,133,21,0,2,0,0,2,6/H4
319,Randy Milligan,32,MON,NL,0,47,98,82,10,19,2,0,2,12,0,0,14,21,0.232,0.337,0.329,0.666,75,0.302,67,27,1,0,0,2,1,3H
320,Mickey Morandini*,28,PHI,NL,1,87,316,274,40,80,16,5,2,26,10,5,34,33,0.292,0.378,0.409,0.787,104,0.354,104,112,4,4,4,0,5,*4H
321,James Mouton,25,HOU,NL,0.6,99,345,310,43,76,11,0,2,16,24,5,27,69,0.245,0.315,0.3,0.615,66,0.297,62,93,6,5,2,1,0,*98H/7
322,Greg Myers*,28,CAL,AL,0.4,45,142,126,10,31,6,0,2,8,0,2,10,27,0.246,0.299,0.341,0.641,65,0.278,53,43,3,0,5,1,3,2/HD
323,Warren Newson*,29,CHW,AL,0.1,63,118,102,16,26,5,0,2,7,1,0,14,23,0.255,0.345,0.363,0.708,85,0.33,86,37,3,0,2,0,1,H9/7D
324,Troy O'Leary*,24,MIL,AL,-0.2,27,73,66,9,18,1,1,2,7,1,1,5,12,0.273,0.329,0.409,0.738,87,0.322,79,27,0,1,0,1,0,79/HD
325,Dan Pasqua*,32,CHW,AL,-0.1,11,23,23,2,5,2,0,2,4,0,0,0,9,0.217,0.217,0.565,0.783,95,0.316,78,13,1,0,0,0,0,/93H7
326,Bill Pecota,34,ATL,NL,0.2,64,130,112,11,24,5,0,2,16,1,0,16,16,0.214,0.31,0.313,0.623,62,0.293,57,35,3,0,1,1,1,H5/47
327,Tony Peña,37,CLE,AL,0.5,40,126,112,18,33,8,1,2,10,0,1,9,11,0.295,0.341,0.438,0.779,102,0.359,111,49,6,0,3,2,0,2
328,Todd Pratt,27,PHI,NL,-0.1,28,114,102,10,20,6,1,2,9,0,1,12,29,0.196,0.281,0.333,0.614,59,0.289,60,34,3,0,0,0,0,2
329,Jody Reed,31,MIL,AL,1.4,108,465,399,48,108,22,0,2,37,5,4,57,34,0.271,0.362,0.341,0.703,81,0.332,84,136,8,2,4,3,1,*4/H
330,Rick Renteria,32,FLA,NL,0,28,52,49,5,11,0,0,2,4,0,1,1,4,0.224,0.269,0.347,0.616,58,0.283,60,17,1,2,0,0,0,5H/47
331,Bip Roberts#,30,SDP,NL,1.7,105,449,403,52,129,15,5,2,31,21,7,39,57,0.32,0.383,0.397,0.78,107,0.36,110,160,7,3,2,2,1,*47/8H
332,Steve Scarsone,28,SFG,NL,0.1,52,118,103,21,28,8,0,2,13,0,2,10,20,0.272,0.33,0.408,0.738,97,0.337,106,42,1,0,3,2,1,4H/536
333,Don Slaught,35,PIT,NL,0.9,76,279,240,21,69,7,0,2,21,0,0,34,31,0.288,0.381,0.342,0.723,90,0.336,91,82,5,3,1,1,2,2/H
334,Kelly Stinnett,24,NYM,NL,0.2,47,167,150,20,38,6,2,2,14,2,0,11,28,0.253,0.323,0.36,0.683,79,0.314,76,54,3,5,0,1,1,2/H
335,Kevin Stocker#,24,PHI,NL,0.3,82,330,271,38,74,11,2,2,28,2,2,44,41,0.273,0.383,0.351,0.734,92,0.334,90,95,3,7,4,4,8,*6
336,Jeff Tackett,28,BAL,AL,0.2,26,60,53,5,12,3,1,2,9,0,0,5,13,0.226,0.317,0.434,0.751,88,0.345,91,23,4,2,0,0,0,2/H
337,Robby Thompson,32,SFG,NL,0.4,35,150,129,13,27,8,2,2,7,3,1,15,32,0.209,0.29,0.349,0.638,70,0.294,66,45,2,0,5,1,0,4
338,Lee Tinsley#,25,BOS,AL,0.5,78,168,144,27,32,4,0,2,14,13,0,19,36,0.222,0.315,0.292,0.607,56,0.312,56,42,2,1,3,1,1,7H89D
339,Rondell White,22,MON,NL,0.4,40,109,97,16,27,10,1,2,13,1,1,9,18,0.278,0.358,0.464,0.822,112,0.368,116,45,1,3,0,0,0,7H/8
340,Dave Valle,33,2TM,AL,-0.1,46,134,112,14,26,8,1,2,10,0,2,18,22,0.232,0.348,0.375,0.723,84,0.324,82,42,3,2,2,0,2,2/H3D
340,Dave Valle,33,BOS,AL,-0.6,30,88,76,6,12,2,1,1,5,0,1,9,18,0.158,0.256,0.25,0.506,30,0.238,21,19,2,1,2,0,1,3-Feb
340,Dave Valle,33,MIL,AL,0.5,16,46,36,8,14,6,0,1,5,0,1,9,4,0.389,0.522,0.639,1.161,194,0.485,197,23,1,1,0,0,1,2/HD
341,Skeeter Barnes,37,DET,AL,-0.1,24,21,21,4,6,0,0,1,4,0,1,0,2,0.286,0.286,0.429,0.714,82,0.283,71,9,1,0,0,0,0,3H/7D
342,Kim Batiste,26,PHI,NL,-2,64,214,209,17,49,6,0,1,13,1,1,1,32,0.234,0.239,0.278,0.517,34,0.245,26,58,11,1,1,2,0,56/H
343,Rich Becker*,22,MIN,AL,0.3,28,112,98,12,26,3,0,1,8,6,1,13,25,0.265,0.351,0.327,0.678,77,0.349,93,32,2,0,1,0,0,8/9H7D
344,Mike Benjamin,28,SFG,NL,1.3,38,75,62,9,16,5,1,1,9,5,0,5,16,0.258,0.343,0.419,0.762,103,0.379,118,26,1,3,5,0,1,6H4/5
345,Hubie Brooks,37,KCR,AL,-0.7,34,67,61,5,14,2,0,1,14,1,0,2,10,0.23,0.239,0.311,0.55,39,0.24,19,19,2,0,0,4,0,HD/3
